reciter_id	name_en	name_ar	country	slug	riwayah	style	recording_context	recording_year	source	channel	audio_category	chapter_count	codec	container	sample_rate_hz	channels	bitrate_mode	bitrate_kbps_nominal	total_duration_sec	state
salah_bukhatir	Salah Bukhatir	صلاح بوخاطر	UAE	salah_bukhatir_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		85168	
salah_bukhatir	Salah Bukhatir	صلاح بوخاطر	UAE	salah_bukhatir_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	85075	
salah_el_najjar	Salah El-Najjar	صلاح النجار		salah_el_najjar_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	1	mixed		105697	
salah_musali	Salah Musali	صلاح مصلي		salah_musali_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	49	mp3	mp3	44100	2	mixed		8245	
saleh_al_ansari	Saleh Al-Ansari	صالح الأنصاري		saleh_al_ansari_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	41	mp3	mp3	22050	2	mixed		54533	
saleh_al_habdan	Saleh Al-Habdan	صالح الهبدان		saleh_al_habdan_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	192	95956	
saleh_al_habdan	Saleh Al-Habdan	صالح الهبدان		saleh_al_habdan_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	2	mp3	mp3	44100	2	cbr	128	2826	
saleh_al_quraishi	Saleh Al-Quraishi	صالح القريشي		saleh_al_quraishi_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	mixed		118826	
saleh_al_sahood	Saleh Al-Sahood	صالح الصاهود		saleh_al_sahood_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	96625	
saleh_al_sahood	Saleh Al-Sahood	صالح الصاهود		saleh_al_sahood_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	112	mp3	mp3	22050	2	mixed		91840	
saleh_al_shamrani	Saleh Al-Shamrani	صالح الشمراني		saleh_al_shamrani_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	22050	1	mixed		82852	
saleh_al_talib	Saleh Al-Talib	صالح آل طالب	Saudi Arabia	saleh_al_talib_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	33	mp3	mp3	44100	2	mixed		15290	
saleh_al_talib	Saleh Al-Talib	صالح آل طالب	Saudi Arabia	saleh_al_talib_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	32	mp3	mp3	44100	2	cbr	128	11276	
saleh_al_talib	Saleh Al-Talib	صالح آل طالب	Saudi Arabia	saleh_al_talib_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	32	mp3	mp3	44100	2	cbr	128	11294	
saleh_al_tami	Saleh Al-Tami	صالح الطامي		saleh_al_tami_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	44100	2	mixed		121314	
salem_al_ruwaili	Salem Al-Ruwaili	سالم الرويلي		salem_al_ruwaili_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	24	mp3	mp3	44100	2	mixed		16024	
salih_ahmed_salih	Salih Ahmed Salih	صالح أحمد صالح	Sudan	salih_ahmed_salih_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	11025	1	cbr	32	91094	
salman_al_otaibi	Salman Al-Otaibi	سلمان العتيبي		salman_al_otaibi_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	68	mp3	mp3			unknown			
salman_al_otaibi	Salman Al-Otaibi	سلمان العتيبي		salman_al_otaibi_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	76	mp3	mp3	44100	2	mixed		38574	
salman_al_otaibi	Salman Al-Otaibi	سلمان العتيبي		salman_al_otaibi_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	59	mp3	mp3	44100	2	mixed		10698	
salman_al_sadeiq	Salman Al-Sadeiq	سلمان الصديق		salman_al_sadeiq_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	mixed		99383	
samer_islam	Samer Islam	سامر إسلام		samer_islam_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	48000	2	cbr	320	83963	
sami_al_dosari	Sami Al-Dosari	سامي الدوسري		sami_al_dosari_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	53	mp3	mp3	44100	2	cbr	128	29186	
sami_al_dosari	Sami Al-Dosari	سامي الدوسري		sami_al_dosari_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	41	mp3	mp3	44100	2	cbr	128	6745	
sami_al_hasn	Sami Al-Hasn	سامي الحسن		sami_al_hasn_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	28	mp3	mp3	22050	2	mixed		13124	
sami_al_hasn	Sami Al-Hasn	سامي الحسن		sami_al_hasn_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	26	mp3	mp3	22050	2	cbr	64	10645	
sapinah_mamat	Sapinah Mamat	سابينة مامات	Malaysia	sapinah_mamat_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	4	mp3	mp3	44100	2	cbr	128	2903	
sapinah_mamat	Sapinah Mamat	سابينة مامات	Malaysia	sapinah_mamat_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	4	mp3	mp3	44100	2	cbr	128	2906	
saud_al_shuraim	Saud Al-Shuraim	سعود الشريم	Saudi Arabia	saud_al_shuraim_everyayah_byayah	hafs_an_asim	murattal			everyayah	everyayah	by_ayah	6236	mp3	mp3			unknown		65739	
saud_al_shuraim	Saud Al-Shuraim	سعود الشريم	Saudi Arabia	saud_al_shuraim_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	65801	
saud_al_shuraim	Saud Al-Shuraim	سعود الشريم	Saudi Arabia	saud_al_shuraim_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	114	mp3	mp3	44100	2	mixed		65807	
saud_al_shuraim	Saud Al-Shuraim	سعود الشريم	Saudi Arabia	saud_al_shuraim_tarteel	hafs_an_asim	murattal			qul	tarteel	by_surah	114	mp3	mp3	44100	2	mixed		65338	
saud_al_shuraim	Saud Al-Shuraim	سعود الشريم	Saudi Arabia	saud_al_shuraim_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	65852	
sayed_ahmed_hashemi	Sayed Ahmed Hashemi	سيد أحمد هاشمي		sayed_ahmed_hashemi_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	32000	2	cbr	96	103224	
sayid_mutauli	Sayid Mutauli	سيد متولي		sayid_mutauli_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	36	mp3	mp3	22050	2	mixed		53826	
shaban_al_sayyad	Shaban Al-Sayyad	شعبان الصياد		shaban_al_sayyad_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	65	mp3	mp3	48000	2	mixed		79270	
shaban_al_sayyad	Shaban Al-Sayyad	شعبان الصياد		shaban_al_sayyad_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	2	mp3	mp3	44100	2	cbr	128	4897	
shahat_mohammed_anwar	Shahat Mohammed Anwar	الشحات محمد أنور	Egypt	shahat_mohammed_anwar_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	114	mp3	mp3	44100	2	mixed		115316	
shahat_mohammed_anwar	Shahat Mohammed Anwar	الشحات محمد أنور	Egypt	shahat_mohammed_anwar_mujawwad_archive	hafs_an_asim	mujawwad			surah-quran	archive_org	by_surah	49	mp3	mp3	44100	2	cbr	128	90207	
shahat_mohammed_anwar	Shahat Mohammed Anwar	الشحات محمد أنور	Egypt	shahat_mohammed_anwar_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	44100	2	mixed		113728	
shahriar_parhizgar	Shahriar Parhizgar	شهريار پرهيزكار	Iran	shahriar_parhizgar_everyayah_byayah	hafs_an_asim	murattal			everyayah	everyayah	by_ayah	6236	mp3	mp3			unknown		94761	
shawqy_hamed	Shawqy Hamed	شوقي حامد		shawqy_hamed_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	72	mp3	mp3	44100	2	mixed		67827	
sherif_mustafa	Sherif Mustafa	شريف مصطفى		sherif_mustafa_archive	hafs_an_asim	murattal			surah-quran	archive_org	by_surah	23	mp3	mp3	48000	2	mixed		14538	
shirazad_taher	Shirazad Taher	شيرزاد طاهر		shirazad_taher_mp3quran	hafs_an_asim	murattal			mp3quran	mp3quran	by_surah	114	mp3	mp3	44100	2	cbr	128	104089	
shirazad_taher	Shirazad Taher	شيرزاد طاهر		shirazad_taher_tvquran	hafs_an_asim	murattal			tvquran	tvquran	by_surah	114	mp3	mp3	22050	2	cbr	64	104163	
sudais_and_shuraym	Sudais and Shuraym	السديس والشريم	Saudi Arabia	sudais_and_shuraym_qdc	hafs_an_asim	murattal			quranicaudio	quranicaudio	by_surah	111	mp3	mp3	44100	2	mixed		68334	
